p_visible,method,label,loss_type,tau_pinball,loss_mean,loss_std,train_loss_mean,train_loss_std,ok_runs,failed_runs,total_runs,num_parameters,n0_mean,truth_type,noise_type,sigma,split_mode,train_samples,test_samples,train_ratio,r_poly,k_union,k_sffa,r_sffa
0.7,dk_lap_poly,Distance-k Laplacian polynomial,smooth_pinball,0.8,17.02642993927002,0.2716692372987032,16.110433101654053,0.2984100521058865,10,0,10,44,144.0,hadamard,skew_bernoulli,20.0,ratio,23990,10282,0.7,3,11,11,3
0.7,kron_lp,Kron Laplacian polynomial,smooth_pinball,0.8,20.46816234588623,0.30496077111564596,19.845715141296388,0.35727653295430756,10,0,10,4,144.0,hadamard,skew_bernoulli,20.0,ratio,23990,10282,0.7,3,11,11,3
0.7,num_lmmse,Numerical LMMSE (MSE-trained baseline),smooth_pinball,0.8,13.656433963775635,0.3292478370979815,11.890772247314453,0.24703896733312863,10,0,10,20736,144.0,hadamard,skew_bernoulli,20.0,ratio,23990,10282,0.7,3,11,11,3
0.7,rg_alg,Random-group algebra,smooth_pinball,0.8,14.048169708251953,0.32024956036290486,12.85934238433838,0.25237215258326484,10,0,10,1464,144.0,hadamard,skew_bernoulli,20.0,ratio,23990,10282,0.7,3,11,11,3
0.7,sffa,Distance-based Laplacian SFFA,smooth_pinball,0.8,12.974435234069825,0.3544889022183679,11.321410274505615,0.1267639420262923,10,0,10,1464,144.0,hadamard,skew_bernoulli,20.0,ratio,23990,10282,0.7,3,11,11,3
0.7,sub_lp,Induced-subgraph Laplacian polynomial,smooth_pinball,0.8,20.51083106994629,0.33927692592106085,19.878166961669923,0.39725517393532384,10,0,10,4,144.0,hadamard,skew_bernoulli,20.0,ratio,23990,10282,0.7,3,11,11,3
0.7,union_lp,Union distance-Laplacian polynomial,smooth_pinball,0.8,19.536011505126954,0.3429416920024544,18.98116989135742,0.3520085848423131,10,0,10,4,144.0,hadamard,skew_bernoulli,20.0,ratio,23990,10282,0.7,3,11,11,3
