seed,p_visible,n0,method,label,loss_type,tau_pinball,loss,train_loss,mse,huber,logcosh,smooth_pinball,pinball,train_mse,train_huber,train_logcosh,train_smooth_pinball,train_pinball,trained_objective,ridge,num_parameters,status,error,truth_type,noise_type,sigma,split_mode,clean_T,train_samples,test_samples,train_ratio,r_poly,k_union,k_sffa,r_sffa,optimizer
42,0.2,41,sub_lp,Induced-subgraph Laplacian polynomial,smooth_pinball,0.8,22.145092010498047,20.594018936157227,,,,22.145092010498047,,,,,20.594018936157227,,smooth_pinball,0.0,4,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,6,6,3,lbfgs
42,0.2,41,kron_lp,Kron Laplacian polynomial,smooth_pinball,0.8,21.105710983276367,19.252397537231445,,,,21.105710983276367,,,,,19.252397537231445,,smooth_pinball,0.0,4,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,6,6,3,lbfgs
42,0.2,41,union_lp,Union distance-Laplacian polynomial,smooth_pinball,0.8,20.6134090423584,19.194719314575195,,,,20.6134090423584,,,,,19.194719314575195,,smooth_pinball,0.0,4,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,6,6,3,lbfgs
42,0.2,41,dk_lap_poly,Distance-k Laplacian polynomial,smooth_pinball,0.8,18.719022750854492,17.451343536376953,,,,18.719022750854492,,,,,17.451343536376953,,smooth_pinball,0.0,24,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,6,6,3,lbfgs
42,0.2,41,rg_alg,Random-group algebra,smooth_pinball,0.8,16.155424118041992,14.57516098022461,,,,16.155424118041992,,,,,14.57516098022461,,smooth_pinball,0.0,259,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,6,6,3,lbfgs
42,0.2,41,sffa,Distance-based Laplacian SFFA,smooth_pinball,0.8,14.317484855651855,12.105584144592285,,,,14.317484855651855,,,,,12.105584144592285,,smooth_pinball,0.0,259,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,6,6,3,lbfgs
42,0.2,41,num_lmmse,Numerical LMMSE (MSE-trained baseline),smooth_pinball,0.8,18.206676483154297,15.002568244934082,,,,18.206676483154297,,,,,15.002568244934082,,mse_closed_form,0.0,1681,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,6,6,3,lbfgs
43,0.2,41,sub_lp,Induced-subgraph Laplacian polynomial,smooth_pinball,0.8,21.265806198120117,20.354875564575195,,,,21.265806198120117,,,,,20.354875564575195,,smooth_pinball,0.0,4,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,6,6,3,lbfgs
43,0.2,41,kron_lp,Kron Laplacian polynomial,smooth_pinball,0.8,20.892902374267578,20.13829231262207,,,,20.892902374267578,,,,,20.13829231262207,,smooth_pinball,0.0,4,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,6,6,3,lbfgs
43,0.2,41,union_lp,Union distance-Laplacian polynomial,smooth_pinball,0.8,20.030134201049805,19.529403686523438,,,,20.030134201049805,,,,,19.529403686523438,,smooth_pinball,0.0,4,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,6,6,3,lbfgs
43,0.2,41,dk_lap_poly,Distance-k Laplacian polynomial,smooth_pinball,0.8,18.829599380493164,18.0750789642334,,,,18.829599380493164,,,,,18.0750789642334,,smooth_pinball,0.0,24,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,6,6,3,lbfgs
43,0.2,41,rg_alg,Random-group algebra,smooth_pinball,0.8,14.890588760375977,14.00483226776123,,,,14.890588760375977,,,,,14.00483226776123,,smooth_pinball,0.0,259,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,6,6,3,lbfgs
43,0.2,41,sffa,Distance-based Laplacian SFFA,smooth_pinball,0.8,14.553047180175781,12.314261436462402,,,,14.553047180175781,,,,,12.314261436462402,,smooth_pinball,0.0,259,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,6,6,3,lbfgs
43,0.2,41,num_lmmse,Numerical LMMSE (MSE-trained baseline),smooth_pinball,0.8,18.787742614746094,15.377601623535156,,,,18.787742614746094,,,,,15.377601623535156,,mse_closed_form,0.0,1681,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,6,6,3,lbfgs
44,0.2,41,sub_lp,Induced-subgraph Laplacian polynomial,smooth_pinball,0.8,20.460432052612305,19.928722381591797,,,,20.460432052612305,,,,,19.928722381591797,,smooth_pinball,0.0,4,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,6,6,3,lbfgs
44,0.2,41,kron_lp,Kron Laplacian polynomial,smooth_pinball,0.8,19.385217666625977,18.904123306274414,,,,19.385217666625977,,,,,18.904123306274414,,smooth_pinball,0.0,4,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,6,6,3,lbfgs
44,0.2,41,union_lp,Union distance-Laplacian polynomial,smooth_pinball,0.8,19.656949996948242,18.855682373046875,,,,19.656949996948242,,,,,18.855682373046875,,smooth_pinball,0.0,4,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,6,6,3,lbfgs
44,0.2,41,dk_lap_poly,Distance-k Laplacian polynomial,smooth_pinball,0.8,17.24616050720215,16.30219078063965,,,,17.24616050720215,,,,,16.30219078063965,,smooth_pinball,0.0,24,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,6,6,3,lbfgs
44,0.2,41,rg_alg,Random-group algebra,smooth_pinball,0.8,15.840458869934082,14.781207084655762,,,,15.840458869934082,,,,,14.781207084655762,,smooth_pinball,0.0,259,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,6,6,3,lbfgs
44,0.2,41,sffa,Distance-based Laplacian SFFA,smooth_pinball,0.8,13.202613830566406,11.837753295898438,,,,13.202613830566406,,,,,11.837753295898438,,smooth_pinball,0.0,259,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,6,6,3,lbfgs
44,0.2,41,num_lmmse,Numerical LMMSE (MSE-trained baseline),smooth_pinball,0.8,17.451692581176758,14.846794128417969,,,,17.451692581176758,,,,,14.846794128417969,,mse_closed_form,0.0,1681,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,6,6,3,lbfgs
45,0.2,41,sub_lp,Induced-subgraph Laplacian polynomial,smooth_pinball,0.8,18.55018424987793,17.785581588745117,,,,18.55018424987793,,,,,17.785581588745117,,smooth_pinball,0.0,4,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,6,6,3,lbfgs
45,0.2,41,kron_lp,Kron Laplacian polynomial,smooth_pinball,0.8,18.578033447265625,17.877599716186523,,,,18.578033447265625,,,,,17.877599716186523,,smooth_pinball,0.0,4,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,6,6,3,lbfgs
45,0.2,41,union_lp,Union distance-Laplacian polynomial,smooth_pinball,0.8,18.74114418029785,17.961776733398438,,,,18.74114418029785,,,,,17.961776733398438,,smooth_pinball,0.0,4,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,6,6,3,lbfgs
45,0.2,41,dk_lap_poly,Distance-k Laplacian polynomial,smooth_pinball,0.8,17.270092010498047,16.324485778808594,,,,17.270092010498047,,,,,16.324485778808594,,smooth_pinball,0.0,24,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,6,6,3,lbfgs
45,0.2,41,rg_alg,Random-group algebra,smooth_pinball,0.8,15.905701637268066,14.574761390686035,,,,15.905701637268066,,,,,14.574761390686035,,smooth_pinball,0.0,259,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,6,6,3,lbfgs
45,0.2,41,sffa,Distance-based Laplacian SFFA,smooth_pinball,0.8,14.280137062072754,12.544917106628418,,,,14.280137062072754,,,,,12.544917106628418,,smooth_pinball,0.0,259,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,6,6,3,lbfgs
45,0.2,41,num_lmmse,Numerical LMMSE (MSE-trained baseline),smooth_pinball,0.8,18.089122772216797,16.77889633178711,,,,18.089122772216797,,,,,16.77889633178711,,mse_closed_form,0.0,1681,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,6,6,3,lbfgs
46,0.2,41,sub_lp,Induced-subgraph Laplacian polynomial,smooth_pinball,0.8,18.901105880737305,19.09919548034668,,,,18.901105880737305,,,,,19.09919548034668,,smooth_pinball,0.0,4,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,6,6,3,lbfgs
46,0.2,41,kron_lp,Kron Laplacian polynomial,smooth_pinball,0.8,18.67953872680664,18.879405975341797,,,,18.67953872680664,,,,,18.879405975341797,,smooth_pinball,0.0,4,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,6,6,3,lbfgs
46,0.2,41,union_lp,Union distance-Laplacian polynomial,smooth_pinball,0.8,18.412891387939453,18.363079071044922,,,,18.412891387939453,,,,,18.363079071044922,,smooth_pinball,0.0,4,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,6,6,3,lbfgs
46,0.2,41,dk_lap_poly,Distance-k Laplacian polynomial,smooth_pinball,0.8,17.344192504882812,17.035045623779297,,,,17.344192504882812,,,,,17.035045623779297,,smooth_pinball,0.0,24,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,6,6,3,lbfgs
46,0.2,41,rg_alg,Random-group algebra,smooth_pinball,0.8,13.7677583694458,13.26386833190918,,,,13.7677583694458,,,,,13.26386833190918,,smooth_pinball,0.0,259,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,6,6,3,lbfgs
46,0.2,41,sffa,Distance-based Laplacian SFFA,smooth_pinball,0.8,13.497925758361816,12.71351432800293,,,,13.497925758361816,,,,,12.71351432800293,,smooth_pinball,0.0,259,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,6,6,3,lbfgs
46,0.2,41,num_lmmse,Numerical LMMSE (MSE-trained baseline),smooth_pinball,0.8,18.660310745239258,15.788431167602539,,,,18.660310745239258,,,,,15.788431167602539,,mse_closed_form,0.0,1681,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,6,6,3,lbfgs
