seed,p_visible,n0,method,label,loss_type,tau_pinball,loss,train_loss,mse,huber,logcosh,smooth_pinball,pinball,train_mse,train_huber,train_logcosh,train_smooth_pinball,train_pinball,trained_objective,ridge,num_parameters,status,error,truth_type,noise_type,sigma,split_mode,clean_T,train_samples,test_samples,train_ratio,r_poly,k_union,k_sffa,r_sffa,optimizer
42,0.9,186,sub_lp,Induced-subgraph Laplacian polynomial,smooth_pinball,0.8,20.202783584594727,19.632570266723633,,,,20.202783584594727,,,,,19.632570266723633,,smooth_pinball,0.0,4,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,13,13,3,lbfgs
42,0.9,186,kron_lp,Kron Laplacian polynomial,smooth_pinball,0.8,20.222822189331055,19.647619247436523,,,,20.222822189331055,,,,,19.647619247436523,,smooth_pinball,0.0,4,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,13,13,3,lbfgs
42,0.9,186,union_lp,Union distance-Laplacian polynomial,smooth_pinball,0.8,19.225196838378906,18.7597713470459,,,,19.225196838378906,,,,,18.7597713470459,,smooth_pinball,0.0,4,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,13,13,3,lbfgs
42,0.9,186,dk_lap_poly,Distance-k Laplacian polynomial,smooth_pinball,0.8,16.822250366210938,15.94009780883789,,,,16.822250366210938,,,,,15.94009780883789,,smooth_pinball,0.0,52,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,13,13,3,lbfgs
42,0.9,186,rg_alg,Random-group algebra,smooth_pinball,0.8,14.273469924926758,12.47813606262207,,,,14.273469924926758,,,,,12.47813606262207,,smooth_pinball,0.0,2380,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,13,13,3,lbfgs
42,0.9,186,sffa,Distance-based Laplacian SFFA,smooth_pinball,0.8,12.783605575561523,11.280113220214844,,,,12.783605575561523,,,,,11.280113220214844,,smooth_pinball,0.0,2380,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,13,13,3,lbfgs
42,0.9,186,num_lmmse,Numerical LMMSE (MSE-trained baseline),smooth_pinball,0.8,12.881940841674805,11.39723014831543,,,,12.881940841674805,,,,,11.39723014831543,,mse_closed_form,0.0,34596,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,13,13,3,lbfgs
43,0.9,186,sub_lp,Induced-subgraph Laplacian polynomial,smooth_pinball,0.8,20.557819366455078,19.90254020690918,,,,20.557819366455078,,,,,19.90254020690918,,smooth_pinball,0.0,4,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,13,13,3,lbfgs
43,0.9,186,kron_lp,Kron Laplacian polynomial,smooth_pinball,0.8,20.51400375366211,19.869272232055664,,,,20.51400375366211,,,,,19.869272232055664,,smooth_pinball,0.0,4,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,13,13,3,lbfgs
43,0.9,186,union_lp,Union distance-Laplacian polynomial,smooth_pinball,0.8,19.438777923583984,18.8709774017334,,,,19.438777923583984,,,,,18.8709774017334,,smooth_pinball,0.0,4,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,13,13,3,lbfgs
43,0.9,186,dk_lap_poly,Distance-k Laplacian polynomial,smooth_pinball,0.8,17.140592575073242,16.219236373901367,,,,17.140592575073242,,,,,16.219236373901367,,smooth_pinball,0.0,52,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,13,13,3,lbfgs
43,0.9,186,rg_alg,Random-group algebra,smooth_pinball,0.8,13.69153118133545,12.806339263916016,,,,13.69153118133545,,,,,12.806339263916016,,smooth_pinball,0.0,2380,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,13,13,3,lbfgs
43,0.9,186,sffa,Distance-based Laplacian SFFA,smooth_pinball,0.8,12.95596694946289,11.266687393188477,,,,12.95596694946289,,,,,11.266687393188477,,smooth_pinball,0.0,2380,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,13,13,3,lbfgs
43,0.9,186,num_lmmse,Numerical LMMSE (MSE-trained baseline),smooth_pinball,0.8,13.02649211883545,11.264259338378906,,,,13.02649211883545,,,,,11.264259338378906,,mse_closed_form,0.0,34596,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,13,13,3,lbfgs
44,0.9,186,sub_lp,Induced-subgraph Laplacian polynomial,smooth_pinball,0.8,20.330249786376953,19.86963653564453,,,,20.330249786376953,,,,,19.86963653564453,,smooth_pinball,0.0,4,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,13,13,3,lbfgs
44,0.9,186,kron_lp,Kron Laplacian polynomial,smooth_pinball,0.8,20.297311782836914,19.824323654174805,,,,20.297311782836914,,,,,19.824323654174805,,smooth_pinball,0.0,4,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,13,13,3,lbfgs
44,0.9,186,union_lp,Union distance-Laplacian polynomial,smooth_pinball,0.8,19.200170516967773,18.809452056884766,,,,19.200170516967773,,,,,18.809452056884766,,smooth_pinball,0.0,4,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,13,13,3,lbfgs
44,0.9,186,dk_lap_poly,Distance-k Laplacian polynomial,smooth_pinball,0.8,16.756986618041992,16.023984909057617,,,,16.756986618041992,,,,,16.023984909057617,,smooth_pinball,0.0,52,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,13,13,3,lbfgs
