seed,p_visible,n0,method,label,loss_type,tau_pinball,loss,train_loss,mse,huber,logcosh,smooth_pinball,pinball,train_mse,train_huber,train_logcosh,train_smooth_pinball,train_pinball,trained_objective,ridge,num_parameters,status,error,truth_type,noise_type,sigma,split_mode,clean_T,train_samples,test_samples,train_ratio,r_poly,k_union,k_sffa,r_sffa,optimizer
42,0.1,20,sub_lp,Induced-subgraph Laplacian polynomial,smooth_pinball,0.8,20.27663230895996,18.768320083618164,,,,20.27663230895996,,,,,18.768320083618164,,smooth_pinball,0.0,4,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,4,4,3,lbfgs
42,0.1,20,kron_lp,Kron Laplacian polynomial,smooth_pinball,0.8,20.777563095092773,19.145641326904297,,,,20.777563095092773,,,,,19.145641326904297,,smooth_pinball,0.0,4,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,4,4,3,lbfgs
42,0.1,20,union_lp,Union distance-Laplacian polynomial,smooth_pinball,0.8,20.942962646484375,19.366262435913086,,,,20.942962646484375,,,,,19.366262435913086,,smooth_pinball,0.0,4,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,4,4,3,lbfgs
42,0.1,20,dk_lap_poly,Distance-k Laplacian polynomial,smooth_pinball,0.8,18.88802719116211,17.245561599731445,,,,18.88802719116211,,,,,17.245561599731445,,smooth_pinball,0.0,16,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,4,4,3,lbfgs
42,0.1,20,rg_alg,Random-group algebra,smooth_pinball,0.8,17.236724853515625,16.033527374267578,,,,17.236724853515625,,,,,16.033527374267578,,smooth_pinball,0.0,85,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,4,4,3,lbfgs
42,0.1,20,sffa,Distance-based Laplacian SFFA,smooth_pinball,0.8,14.643147468566895,13.160720825195312,,,,14.643147468566895,,,,,13.160720825195312,,smooth_pinball,0.0,85,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,4,4,3,lbfgs
42,0.1,20,num_lmmse,Numerical LMMSE (MSE-trained baseline),smooth_pinball,0.8,20.01670265197754,16.76637840270996,,,,20.01670265197754,,,,,16.76637840270996,,mse_closed_form,0.0,400,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,4,4,3,lbfgs
43,0.1,20,sub_lp,Induced-subgraph Laplacian polynomial,smooth_pinball,0.8,21.095638275146484,19.945499420166016,,,,21.095638275146484,,,,,19.945499420166016,,smooth_pinball,0.0,4,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,4,4,3,lbfgs
43,0.1,20,kron_lp,Kron Laplacian polynomial,smooth_pinball,0.8,20.633316040039062,19.155960083007812,,,,20.633316040039062,,,,,19.155960083007812,,smooth_pinball,0.0,4,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,4,4,3,lbfgs
43,0.1,20,union_lp,Union distance-Laplacian polynomial,smooth_pinball,0.8,19.747310638427734,18.707530975341797,,,,19.747310638427734,,,,,18.707530975341797,,smooth_pinball,0.0,4,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,4,4,3,lbfgs
43,0.1,20,dk_lap_poly,Distance-k Laplacian polynomial,smooth_pinball,0.8,19.780807495117188,18.348079681396484,,,,19.780807495117188,,,,,18.348079681396484,,smooth_pinball,0.0,16,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,4,4,3,lbfgs
43,0.1,20,rg_alg,Random-group algebra,smooth_pinball,0.8,19.785633087158203,18.093339920043945,,,,19.785633087158203,,,,,18.093339920043945,,smooth_pinball,0.0,85,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,4,4,3,lbfgs
43,0.1,20,sffa,Distance-based Laplacian SFFA,smooth_pinball,0.8,14.166300773620605,12.785466194152832,,,,14.166300773620605,,,,,12.785466194152832,,smooth_pinball,0.0,85,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,4,4,3,lbfgs
43,0.1,20,num_lmmse,Numerical LMMSE (MSE-trained baseline),smooth_pinball,0.8,21.23772621154785,16.807355880737305,,,,21.23772621154785,,,,,16.807355880737305,,mse_closed_form,0.0,400,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,4,4,3,lbfgs
44,0.1,20,sub_lp,Induced-subgraph Laplacian polynomial,smooth_pinball,0.8,18.9507999420166,19.284393310546875,,,,18.9507999420166,,,,,19.284393310546875,,smooth_pinball,0.0,4,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,4,4,3,lbfgs
44,0.1,20,kron_lp,Kron Laplacian polynomial,smooth_pinball,0.8,18.814571380615234,18.792007446289062,,,,18.814571380615234,,,,,18.792007446289062,,smooth_pinball,0.0,4,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,4,4,3,lbfgs
44,0.1,20,union_lp,Union distance-Laplacian polynomial,smooth_pinball,0.8,17.448118209838867,17.017854690551758,,,,17.448118209838867,,,,,17.017854690551758,,smooth_pinball,0.0,4,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,4,4,3,lbfgs
44,0.1,20,dk_lap_poly,Distance-k Laplacian polynomial,smooth_pinball,0.8,16.02088165283203,15.8671236038208,,,,16.02088165283203,,,,,15.8671236038208,,smooth_pinball,0.0,16,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,4,4,3,lbfgs
44,0.1,20,rg_alg,Random-group algebra,smooth_pinball,0.8,17.138046264648438,16.536157608032227,,,,17.138046264648438,,,,,16.536157608032227,,smooth_pinball,0.0,85,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,4,4,3,lbfgs
44,0.1,20,sffa,Distance-based Laplacian SFFA,smooth_pinball,0.8,13.434319496154785,12.55420970916748,,,,13.434319496154785,,,,,12.55420970916748,,smooth_pinball,0.0,85,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,4,4,3,lbfgs
44,0.1,20,num_lmmse,Numerical LMMSE (MSE-trained baseline),smooth_pinball,0.8,18.561429977416992,16.72933578491211,,,,18.561429977416992,,,,,16.72933578491211,,mse_closed_form,0.0,400,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,4,4,3,lbfgs
45,0.1,20,sub_lp,Induced-subgraph Laplacian polynomial,smooth_pinball,0.8,19.876564025878906,19.365007400512695,,,,19.876564025878906,,,,,19.365007400512695,,smooth_pinball,0.0,4,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,4,4,3,lbfgs
45,0.1,20,kron_lp,Kron Laplacian polynomial,smooth_pinball,0.8,18.92622947692871,18.221420288085938,,,,18.92622947692871,,,,,18.221420288085938,,smooth_pinball,0.0,4,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,4,4,3,lbfgs
45,0.1,20,union_lp,Union distance-Laplacian polynomial,smooth_pinball,0.8,19.74819564819336,19.21647071838379,,,,19.74819564819336,,,,,19.21647071838379,,smooth_pinball,0.0,4,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,4,4,3,lbfgs
45,0.1,20,dk_lap_poly,Distance-k Laplacian polynomial,smooth_pinball,0.8,18.270278930664062,17.21925926208496,,,,18.270278930664062,,,,,17.21925926208496,,smooth_pinball,0.0,16,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,4,4,3,lbfgs
45,0.1,20,rg_alg,Random-group algebra,smooth_pinball,0.8,19.709636688232422,18.622037887573242,,,,19.709636688232422,,,,,18.622037887573242,,smooth_pinball,0.0,85,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,4,4,3,lbfgs
45,0.1,20,sffa,Distance-based Laplacian SFFA,smooth_pinball,0.8,15.275542259216309,13.622676849365234,,,,15.275542259216309,,,,,13.622676849365234,,smooth_pinball,0.0,85,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,4,4,3,lbfgs
45,0.1,20,num_lmmse,Numerical LMMSE (MSE-trained baseline),smooth_pinball,0.8,19.323638916015625,19.067964553833008,,,,19.323638916015625,,,,,19.067964553833008,,mse_closed_form,0.0,400,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,4,4,3,lbfgs
46,0.1,20,sub_lp,Induced-subgraph Laplacian polynomial,smooth_pinball,0.8,16.899335861206055,17.29471778869629,,,,16.899335861206055,,,,,17.29471778869629,,smooth_pinball,0.0,4,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,4,4,3,lbfgs
46,0.1,20,kron_lp,Kron Laplacian polynomial,smooth_pinball,0.8,16.64299201965332,17.066984176635742,,,,16.64299201965332,,,,,17.066984176635742,,smooth_pinball,0.0,4,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,4,4,3,lbfgs
46,0.1,20,union_lp,Union distance-Laplacian polynomial,smooth_pinball,0.8,16.730587005615234,16.872264862060547,,,,16.730587005615234,,,,,16.872264862060547,,smooth_pinball,0.0,4,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,4,4,3,lbfgs
46,0.1,20,dk_lap_poly,Distance-k Laplacian polynomial,smooth_pinball,0.8,15.904998779296875,15.703812599182129,,,,15.904998779296875,,,,,15.703812599182129,,smooth_pinball,0.0,16,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,4,4,3,lbfgs
46,0.1,20,rg_alg,Random-group algebra,smooth_pinball,0.8,14.663427352905273,14.311298370361328,,,,14.663427352905273,,,,,14.311298370361328,,smooth_pinball,0.0,85,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,4,4,3,lbfgs
46,0.1,20,sffa,Distance-based Laplacian SFFA,smooth_pinball,0.8,13.254483222961426,12.921141624450684,,,,13.254483222961426,,,,,12.921141624450684,,smooth_pinball,0.0,85,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,4,4,3,lbfgs
46,0.1,20,num_lmmse,Numerical LMMSE (MSE-trained baseline),smooth_pinball,0.8,21.082904815673828,18.23948860168457,,,,21.082904815673828,,,,,18.23948860168457,,mse_closed_form,0.0,400,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,4,4,3,lbfgs
47,0.1,20,sub_lp,Induced-subgraph Laplacian polynomial,smooth_pinball,0.8,20.68419647216797,20.72589111328125,,,,20.68419647216797,,,,,20.72589111328125,,smooth_pinball,0.0,4,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,4,4,3,lbfgs
47,0.1,20,kron_lp,Kron Laplacian polynomial,smooth_pinball,0.8,20.540969848632812,20.674997329711914,,,,20.540969848632812,,,,,20.674997329711914,,smooth_pinball,0.0,4,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,4,4,3,lbfgs
47,0.1,20,union_lp,Union distance-Laplacian polynomial,smooth_pinball,0.8,20.048227310180664,19.90038299560547,,,,20.048227310180664,,,,,19.90038299560547,,smooth_pinball,0.0,4,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,4,4,3,lbfgs
47,0.1,20,dk_lap_poly,Distance-k Laplacian polynomial,smooth_pinball,0.8,19.749345779418945,19.7066650390625,,,,19.749345779418945,,,,,19.7066650390625,,smooth_pinball,0.0,16,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,4,4,3,lbfgs
47,0.1,20,rg_alg,Random-group algebra,smooth_pinball,0.8,17.567779541015625,16.836273193359375,,,,17.567779541015625,,,,,16.836273193359375,,smooth_pinball,0.0,85,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,4,4,3,lbfgs
47,0.1,20,sffa,Distance-based Laplacian SFFA,smooth_pinball,0.8,14.685844421386719,13.519370079040527,,,,14.685844421386719,,,,,13.519370079040527,,smooth_pinball,0.0,85,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,4,4,3,lbfgs
47,0.1,20,num_lmmse,Numerical LMMSE (MSE-trained baseline),smooth_pinball,0.8,20.123395919799805,18.161087036132812,,,,20.123395919799805,,,,,18.161087036132812,,mse_closed_form,0.0,400,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,4,4,3,lbfgs
48,0.1,20,sub_lp,Induced-subgraph Laplacian polynomial,smooth_pinball,0.8,20.59353256225586,19.580711364746094,,,,20.59353256225586,,,,,19.580711364746094,,smooth_pinball,0.0,4,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,4,4,3,lbfgs
