seed,p_visible,n0,method,label,loss_type,tau_pinball,loss,train_loss,mse,huber,logcosh,smooth_pinball,pinball,train_mse,train_huber,train_logcosh,train_smooth_pinball,train_pinball,trained_objective,ridge,num_parameters,status,error,truth_type,noise_type,sigma,split_mode,clean_T,train_samples,test_samples,train_ratio,r_poly,k_union,k_sffa,r_sffa,optimizer
42,0.8,165,sub_lp,Induced-subgraph Laplacian polynomial,smooth_pinball,0.8,20.543643951416016,19.972652435302734,,,,20.543643951416016,,,,,19.972652435302734,,smooth_pinball,0.0,4,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,12,12,3,lbfgs
42,0.8,165,kron_lp,Kron Laplacian polynomial,smooth_pinball,0.8,20.57019805908203,19.98517608642578,,,,20.57019805908203,,,,,19.98517608642578,,smooth_pinball,0.0,4,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,12,12,3,lbfgs
42,0.8,165,union_lp,Union distance-Laplacian polynomial,smooth_pinball,0.8,19.545175552368164,19.06574249267578,,,,19.545175552368164,,,,,19.06574249267578,,smooth_pinball,0.0,4,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,12,12,3,lbfgs
42,0.8,165,dk_lap_poly,Distance-k Laplacian polynomial,smooth_pinball,0.8,16.90507698059082,16.079124450683594,,,,16.90507698059082,,,,,16.079124450683594,,smooth_pinball,0.0,48,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,12,12,3,lbfgs
42,0.8,165,rg_alg,Random-group algebra,smooth_pinball,0.8,14.729899406433105,13.218849182128906,,,,14.729899406433105,,,,,13.218849182128906,,smooth_pinball,0.0,1885,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,12,12,3,lbfgs
42,0.8,165,sffa,Distance-based Laplacian SFFA,smooth_pinball,0.8,12.962518692016602,11.364401817321777,,,,12.962518692016602,,,,,11.364401817321777,,smooth_pinball,0.0,1885,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,12,12,3,lbfgs
42,0.8,165,num_lmmse,Numerical LMMSE (MSE-trained baseline),smooth_pinball,0.8,13.11011791229248,11.59898853302002,,,,13.11011791229248,,,,,11.59898853302002,,mse_closed_form,0.0,27225,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,12,12,3,lbfgs
43,0.8,165,sub_lp,Induced-subgraph Laplacian polynomial,smooth_pinball,0.8,20.741453170776367,20.040252685546875,,,,20.741453170776367,,,,,20.040252685546875,,smooth_pinball,0.0,4,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,12,12,3,lbfgs
43,0.8,165,kron_lp,Kron Laplacian polynomial,smooth_pinball,0.8,20.693029403686523,20.01900291442871,,,,20.693029403686523,,,,,20.01900291442871,,smooth_pinball,0.0,4,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,12,12,3,lbfgs
43,0.8,165,union_lp,Union distance-Laplacian polynomial,smooth_pinball,0.8,19.718730926513672,19.107019424438477,,,,19.718730926513672,,,,,19.107019424438477,,smooth_pinball,0.0,4,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,12,12,3,lbfgs
