p,p1_hidden_original_ratio,n0_first_run,m0_first_run,runs,seeds,method,label,rmse_mean,rmse_std,mse_mean,train_size,test_size,k,r,rmax,optimizer
0.4,0.1,128,32,10,1;2;3;4;5;6;7;8;9;10,pure_sffa,"Pure distance-based SFFA (k=10, r=2)",0.08365965118665657,0.005473562785409538,0.007025901137282284,200,200,10,2,6,lbfgs
0.4,0.1,128,32,10,1;2;3;4;5;6;7;8;9;10,induced_poly_lim_r2,Induced Laplacian polynomial LIM (deg≤2),0.1529317904139485,0.011917955306288265,0.02351596641203029,200,200,10,2,6,lbfgs
0.4,0.1,128,32,10,1;2;3;4;5;6;7;8;9;10,induced_poly_lim_r3,Induced Laplacian polynomial LIM (deg≤3),0.14683387866142536,0.011448194615719245,0.02167814296672164,200,200,10,3,6,lbfgs
0.4,0.1,128,32,10,1;2;3;4;5;6;7;8;9;10,induced_poly_lim_r4,Induced Laplacian polynomial LIM (deg≤4),0.1468992157100958,0.011447284216969672,0.021697315860590923,200,200,10,4,6,lbfgs
0.4,0.1,128,32,10,1;2;3;4;5;6;7;8;9;10,induced_poly_lim_r5,Induced Laplacian polynomial LIM (deg≤5),0.146903625965663,0.011446964029255368,0.021698605008797774,200,200,10,5,6,lbfgs
0.4,0.1,128,32,10,1;2;3;4;5;6;7;8;9;10,induced_poly_lim_r6,Induced Laplacian polynomial LIM (deg≤6),0.1469038577670689,0.011447090537846271,0.021698675720450696,200,200,10,6,6,lbfgs
0.4,0.1,128,32,10,1;2;3;4;5;6;7;8;9;10,kron_poly_lim_r2,Kron Laplacian polynomial LIM (deg≤2),0.11981223240585867,0.010944218121844573,0.014462769353344155,200,200,10,2,6,lbfgs
0.4,0.1,128,32,10,1;2;3;4;5;6;7;8;9;10,kron_poly_lim_r3,Kron Laplacian polynomial LIM (deg≤3),0.1130007213728188,0.008726056620782269,0.01283769268851162,200,200,10,3,6,lbfgs
0.4,0.1,128,32,10,1;2;3;4;5;6;7;8;9;10,kron_poly_lim_r4,Kron Laplacian polynomial LIM (deg≤4),0.11303827943038983,0.008722394892193805,0.012846124771972719,200,200,10,4,6,lbfgs
0.4,0.1,128,32,10,1;2;3;4;5;6;7;8;9;10,kron_poly_lim_r5,Kron Laplacian polynomial LIM (deg≤5),0.11304007214414283,0.00872215047820435,0.012846526228421007,200,200,10,5,6,lbfgs
0.4,0.1,128,32,10,1;2;3;4;5;6;7;8;9;10,kron_poly_lim_r6,Kron Laplacian polynomial LIM (deg≤6),0.11304010873428794,0.008722175064563633,0.012846534886730843,200,200,10,6,6,lbfgs
0.4,0.1,128,32,10,1;2;3;4;5;6;7;8;9;10,union_poly_lim_r2,1..10-union Laplacian polynomial LIM (deg≤2),0.11990451391151387,0.006434835802183219,0.014414358856977377,200,200,10,2,6,lbfgs
0.4,0.1,128,32,10,1;2;3;4;5;6;7;8;9;10,union_poly_lim_r3,1..10-union Laplacian polynomial LIM (deg≤3),0.11990120380666325,0.006427669310610771,0.014413482113776905,200,200,10,3,6,lbfgs
0.4,0.1,128,32,10,1;2;3;4;5;6;7;8;9;10,union_poly_lim_r4,1..10-union Laplacian polynomial LIM (deg≤4),0.1199010349111154,0.006427470363439486,0.014413439310502114,200,200,10,4,6,lbfgs
